,Admin2
195,Alameda
196,Alpine
197,Amador
198,Butte
199,Calaveras
200,Colusa
201,Contra Costa
202,Del Norte
203,El Dorado
204,Fresno
205,Glenn
206,Humboldt
207,Imperial
208,Inyo
209,Kern
210,Kings
211,Lake
212,Lassen
213,Los Angeles
214,Madera
215,Marin
216,Mariposa
217,Mendocino
218,Merced
219,Modoc
220,Mono
221,Monterey
222,Napa
223,Nevada
224,Orange
225,Out of CA
226,Placer
227,Plumas
228,Riverside
229,Sacramento
230,San Benito
231,San Bernardino
232,San Diego
233,San Francisco
234,San Joaquin
235,San Luis Obispo
236,San Mateo
237,Santa Barbara
238,Santa Clara
239,Santa Cruz
240,Shasta
241,Sierra
242,Siskiyou
243,Solano
244,Sonoma
245,Stanislaus
246,Sutter
247,Tehama
248,Trinity
249,Tulare
250,Tuolumne
251,Unassigned
252,Ventura
253,Yolo
254,Yuba
