Date,Colorado,Utah,Kansas,Wyoming,New Mexico
2020-09-16,587.0,747.0,731.0,126.0,118.0
2020-09-17,459.0,911.0,444.0,86.0,158.0
2020-09-18,605.0,1117.0,961.0,95.0,151.0
2020-09-19,606.0,1077.0,361.0,34.0,162.0
2020-09-20,501.0,920.0,214.0,91.0,67.0
2020-09-21,542.0,622.0,927.0,72.0,104.0
2020-09-22,654.0,650.0,373.0,72.0,107.0
2020-09-23,616.0,877.0,846.0,153.0,197.0
2020-09-24,547.0,1198.0,446.0,136.0,237.0
2020-09-25,709.0,1411.0,1133.0,115.0,263.0
2020-09-26,584.0,1017.0,228.0,45.0,205.0
2020-09-27,569.0,1068.0,221.0,168.0,152.0
2020-09-28,411.0,827.0,1089.0,121.0,141.0
2020-09-29,535.0,694.0,387.0,67.0,172.0
2020-09-30,511.0,906.0,690.0,127.0,278.0
2020-10-01,682.0,1008.0,474.0,135.0,226.0
2020-10-02,679.0,1107.0,954.0,131.0,339.0
2020-10-03,657.0,1068.0,257.0,151.0,296.0
2020-10-04,521.0,1393.0,255.0,139.0,181.0
2020-10-05,461.0,1105.0,851.0,125.0,155.0
2020-10-06,654.0,716.0,484.0,141.0,315.0
2020-10-07,730.0,1007.0,626.0,129.0,425.0
2020-10-08,862.0,1501.0,560.0,193.0,384.0
2020-10-09,834.0,1343.0,1213.0,243.0,485.0
2020-10-10,1023.0,1354.0,325.0,120.0,481.0
2020-10-11,819.0,1200.0,264.0,156.0,261.0
2020-10-12,576.0,988.0,1096.0,191.0,379.0
2020-10-13,1048.0,987.0,461.0,162.0,351.0
2020-10-14,692.0,1144.0,945.0,213.0,577.0
2020-10-15,1142.0,1498.0,705.0,198.0,668.0
2020-10-16,1312.0,1496.0,1040.0,290.0,812.0
2020-10-17,1139.0,1340.0,473.0,151.0,573.0
2020-10-18,933.0,1097.0,245.0,209.0,445.0
2020-10-19,1072.0,1168.0,1289.0,286.0,514.0
2020-10-20,1208.0,1081.0,622.0,215.0,594.0
2020-10-21,1267.0,1363.0,1306.0,322.0,819.0
2020-10-22,1373.0,1543.0,583.0,271.0,662.0
2020-10-23,1350.0,1960.0,1113.0,426.0,791.0
2020-10-24,1828.0,1608.0,357.0,260.0,872.0
2020-10-25,1689.0,1765.0,278.0,236.0,823.0
2020-10-26,2211.0,1201.0,1163.0,436.0,723.0
2020-10-27,1433.0,1145.0,908.0,329.0,583.0
