,Colorado,Utah,Kansas,Wyoming,New Mexico
2020-09-15,62079,59000,49989,4440,26923
2020-09-16,62666,59747,50720,4566,27041
2020-09-17,63125,60658,51164,4652,27199
2020-09-18,63730,61775,52125,4747,27350
2020-09-19,64336,62852,52486,4781,27512
2020-09-20,64837,63772,52700,4872,27579
2020-09-21,65379,64394,53627,4944,27683
2020-09-22,66033,65044,54000,5016,27790
2020-09-23,66649,65921,54846,5169,27987
2020-09-24,67196,67119,55292,5305,28224
2020-09-25,67905,68530,56425,5420,28487
2020-09-26,68489,69547,56653,5465,28692
2020-09-27,69058,70615,56874,5633,28844
2020-09-28,69469,71442,57963,5754,28985
2020-09-29,70004,72136,58350,5821,29157
2020-09-30,70515,73042,59040,5948,29435
2020-10-01,71197,74050,59514,6083,29661
2020-10-02,71876,75157,60468,6214,30000
2020-10-03,72533,76225,60725,6365,30296
2020-10-04,73054,77618,60980,6504,30477
2020-10-05,73515,78723,61831,6629,30632
2020-10-06,74169,79439,62315,6770,30947
2020-10-07,74899,80446,62941,6899,31372
2020-10-08,75761,81947,63501,7092,31756
2020-10-09,76595,83290,64714,7335,32241
2020-10-10,77618,84644,65039,7455,32722
2020-10-11,78437,85844,65303,7611,32983
2020-10-12,79013,86832,66399,7802,33362
2020-10-13,80061,87819,66860,7964,33713
2020-10-14,80753,88963,67805,8177,34290
2020-10-15,81895,90461,68510,8375,34958
